fraud_flag,payment_id,hashed_ip,device,version,adjusted_pmt_created_at,merchant_name,hashed_consumer_id,adjusted_acc_created_at,amount,hashed_buyer_email,hashed_consumer_email,hashed_buyer_phone,hashed_consumer_phone,consumer_phone_age,merchant_account_age,ltv,hashed_zip,consumer_gender,consumer_age
,12,ip_11,iPhone OS,13,2021-04-28 10:07:39.560000,Red Shop,consumer_3905,2021-04-28 10:07:52.687000,3800,email_000005072@hotmail.com,email_000005072@hotmail.com,819000007836,819000007836,163,872,750,3988158,Female,50
,13,ip_12,iPhone OS,13,2021-04-27 11:12:36.043000,Red Shop,consumer_1303,2021-04-09 22:07:19.448000,1450,email_00000000002235@gmail.com,email_00000000002235@gmail.com,819000005601,819000005601,179,849,4580,2906333,Male,25
,14,ip_12,iPhone OS,13,2021-04-27 11:13:21.488000,Red Shop,consumer_1303,2021-04-09 22:07:19.448000,1450,email_00000000002235@gmail.com,email_00000000002235@gmail.com,819000005601,819000005601,160,849,4580,2906333,Male,35
,15,ip_13,Android,9,2021-05-05 21:10:58.655000,Blue Shop,consumer_6078,2021-05-05 21:11:11.280000,800,email_00000000000005668@au.com,email_00000000000005668@au.com,819000005044,819000005044,63,0,0,8696129,Male,42
,16,ip_14,iPhone OS,13,2021-05-03 09:31:26.892000,Red Shop,consumer_1084,2020-05-17 01:03:15.052000,25318,email_0000000000000006647@ezweb.ne.jp,email_00000004358@gmail.com,818000001858,817000000601,17,740,7400,9128119,Male,16
,17,ip_15,,,2021-04-26 23:39:59.677000,Red Shop,consumer_1847,2021-04-26 23:40:11.660000,2700,email_000000000000006042@ezweb.ne.jp,email_000000000000006042@ezweb.ne.jp,818000003501,818000003501,104,834,1250,9088978,Female,55
,18,ip_16,iPhone OS,13,2021-04-28 22:34:28.379000,Red Shop,consumer_4430,2021-04-28 21:29:26.460000,33490,email_00000000000007833@gmail.com,email_0000000000000000007757@gmail.com,817000000448,817000000448,108,0,0,9188966,Male,31
,19,ip_16,iPhone OS,13,2021-04-28 22:33:18.229000,Red Shop,consumer_4430,2021-04-28 21:29:26.460000,34000,email_00000000000007833@gmail.com,email_0000000000000000007757@gmail.com,817000000448,817000000448,152,0,0,9188966,,44
,20,ip_17,iPhone OS,13,2021-04-28 02:06:34.637000,Blue Shop,consumer_3788,2021-04-28 02:06:43.519000,6000,email_000000000000000000000002054@ezweb.ne.jp,email_000000000000000000000002054@ezweb.ne.jp,819000005017,819000005017,130,0,0,8648133,Male,30
,21,ip_18,iPhone OS,13,2021-04-29 13:56:21.912000,Blue Shop,consumer_1109,2021-03-24 10:22:03.530000,12420,email_0000003286@icloud.com,email_0000003286@icloud.com,818000003500,818000003500,111,0,0,9250314,Female,43
,22,ip_19,iPhone OS,13,2021-05-01 17:21:14.892000,Blue Shop,consumer_5061,2021-04-29 15:47:04.645000,69000,email_00000000000002059@icloud.com,email_00000000000002059@icloud.com,818000001063,817000000803,77,0,0,4038103,Female,62
,23,ip_19,iPhone OS,13,2021-05-01 17:26:50.491000,Blue Shop,consumer_5061,2021-04-29 15:47:04.645000,69000,email_00000000000002059@icloud.com,email_00000000000002059@icloud.com,817000000803,817000000803,103,0,0,4038103,Female,62
,24,ip_19,iPhone OS,13,2021-05-01 17:29:38.992000,Blue Shop,consumer_5061,2021-04-29 15:47:04.645000,69000,email_00000000000002059@icloud.com,email_00000000000002059@icloud.com,817000000803,817000000803,98,0,0,4038103,,35
,25,ip_20,iPhone OS,13,2021-05-04 11:36:05.880000,Red Shop,consumer_4395,2021-05-03 23:50:31.550000,3000,email_00000000000000006995@au.com,email_00000000000000006995@au.com,819000006775,819000006775,135,0,0,7758146,,49
,26,ip_20,iPhone OS,13,2021-05-04 11:32:06.372000,Red Shop,consumer_4395,2021-05-03 23:50:31.550000,3000,email_00000000000000006995@au.com,email_00000000000000006995@au.com,819000006775,819000006775,162,0,0,7758146,,40
,27,ip_20,iPhone OS,13,2021-05-04 11:32:54.828000,Red Shop,consumer_4395,2021-05-03 23:50:31.550000,3000,email_00000000000000006995@au.com,email_00000000000000006995@au.com,819000006775,819000006775,168,0,0,7758146,,50
,28,ip_20,iPhone OS,13,2021-05-04 13:20:22.875000,Red Shop,consumer_4395,2021-05-03 23:50:31.550000,4160,email_00000000000000006995@au.com,email_00000000000000006995@au.com,819000006775,819000006775,130,0,0,7758146,,38
,29,ip_20,iPhone OS,13,2021-05-04 12:14:13.498000,Red Shop,consumer_4395,2021-05-03 23:50:31.550000,3000,email_00000000000000006995@au.com,email_00000000000000006995@au.com,819000006775,819000006775,149,0,0,7758146,Male,63
,30,ip_21,iPhone OS,13,2021-05-02 12:01:16.186000,Blue Shop,consumer_956,2021-03-15 21:23:25.444000,2699,email_000000005283@ezweb.ne.jp,email_000000005283@ezweb.ne.jp,819000007963,819000007963,192,0,0,8748939,Male,17
,31,ip_22,iPhone OS,13,2021-05-06 22:54:43.655000,Blue Shop,consumer_552,2021-01-05 22:15:41.595000,20172,email_0005144@ezweb.ne.jp,email_0005144@ezweb.ne.jp,819000007988,819000007988,139,0,0,7740203,Male,25
,32,ip_22,iPhone OS,13,2021-05-06 22:54:27.517000,Blue Shop,consumer_552,2021-01-05 22:15:41.595000,20172,email_0005144@ezweb.ne.jp,email_0005144@ezweb.ne.jp,819000007988,819000007988,164,0,0,7740203,Male,32
,33,ip_23,iPhone OS,13,2021-05-08 02:05:58.858000,Blue Shop,consumer_2722,2021-05-08 02:06:12.175000,3500,email_000004436@ezweb.ne.jp,email_000004436@ezweb.ne.jp,818000003054,818000003054,184,0,0,9288115,,53
,34,ip_24,iPhone OS,13,2021-05-02 23:56:16.753000,Blue Shop,consumer_3736,2021-05-02 23:56:28.285000,9050,email_00000000003531@gmail.com,email_00000000003531@gmail.com,819000006326,819000006326,100,0,0,9148103,Female,56
,35,ip_25,,,2021-04-29 12:46:41.832000,Blue Shop,consumer_4998,2021-04-29 12:46:51.225000,1000,email_00000000007239@yahoo.co.jp,email_00000000007239@yahoo.co.jp,818000003057,818000003057,27,0,0,8948136,Male,20
,36,ip_26,iPhone OS,12,2021-05-07 22:04:16.541000,Red Shop,consumer_2637,2021-05-07 22:04:33.030000,3000,email_00000000000000000000000005582@docomo.ne.jp,email_00000000000000000000000005582@docomo.ne.jp,819000005904,819000005904,38,980,4800,8268218,Male,39
,37,ip_27,Android,8,2021-05-02 21:44:53.250000,Red Shop,consumer_3695,2021-05-02 21:45:10.660000,1700,email_00000699@gmail.com,email_00000699@gmail.com,819000007909,819000007909,68,1216,550,9030193,Male,67
,38,ip_28,iPhone OS,13,2021-05-02 00:32:19.054000,Blue Shop,consumer_7153,2021-05-02 00:32:27.464000,11000,email_00000004072@softbank.ne.jp,email_00000004072@softbank.ne.jp,818000001160,818000001160,150,0,0,7758139,Female,63
,39,ip_29,iPhone OS,13,2021-05-06 13:05:50.607000,Blue Shop,consumer_6837,2021-05-06 13:06:08.878000,12540,email_0000000000000000000001858@gmail.com,email_0000000000000000000001858@gmail.com,819000007009,819000007009,96,0,0,9030293,Female,67
,40,ip_30,iPhone OS,13,2021-05-03 20:19:18.771000,Blue Shop,consumer_378,2019-08-19 21:49:52.371000,44000,email_000000003874@yahoo.co.jp,email_000000003873@i.softbank.jp,819000006803,819000006803,24,0,0,8948099,Female,39
,41,ip_30,iPhone OS,13,2021-05-03 20:19:38.325000,Blue Shop,consumer_378,2019-08-19 21:49:52.371000,44000,email_000000003874@yahoo.co.jp,email_000000003873@i.softbank.jp,819000006803,819000006803,106,0,0,8948099,,25
,42,ip_31,iPhone OS,13,2021-05-04 02:53:50.646000,Red Shop,consumer_414,2020-12-06 15:15:53.750000,25555,email_000001773@gmail.com,email_0000003295@gmail.com,819000007536,819000007536,134,0,0,9049223,,22
,43,ip_31,iPhone OS,13,2021-05-04 03:01:04.013000,Red Shop,consumer_414,2020-12-06 15:15:53.750000,1399,email_000001773@gmail.com,email_0000003295@gmail.com,819000007536,819000007536,65,0,0,9049223,Male,64
,44,ip_31,iPhone OS,13,2021-05-04 02:57:11.671000,Red Shop,consumer_414,2020-12-06 15:15:53.750000,1399,email_000001773@gmail.com,email_0000003295@gmail.com,819000007536,819000007536,165,0,0,9049223,Male,24
,45,ip_31,iPhone OS,13,2021-05-04 02:52:08.968000,Red Shop,consumer_414,2020-12-06 15:15:53.750000,25555,email_000001773@gmail.com,email_0000003295@gmail.com,819000007536,819000007536,82,0,0,9049223,Male,68
,46,ip_31,iPhone OS,13,2021-05-03 21:08:07.245000,Red Shop,consumer_414,2020-12-06 15:15:53.750000,2680,email_000001773@gmail.com,email_0000003295@gmail.com,819000007536,819000007536,11,0,0,9049223,,57
,47,ip_32,Android,8,2021-05-02 13:14:08.026000,Blue Shop,consumer_3294,2021-05-02 13:12:57.602000,25465,email_0000000000004233@dj.pdx.ne.jp,email_0000000000004233@dj.pdx.ne.jp,817000000849,817000000849,67,0,0,1043892,Male,29
,48,ip_32,Android,8,2021-05-02 13:12:34.449000,Blue Shop,consumer_3294,2021-05-02 13:12:57.602000,25465,email_0000000000004233@dj.pdx.ne.jp,email_0000000000004233@dj.pdx.ne.jp,817000000849,817000000849,139,0,0,1043892,Male,58
,49,ip_32,Android,8,2021-05-02 13:27:16.486000,Blue Shop,consumer_3294,2021-05-02 13:12:57.602000,23265,email_0000000000004233@dj.pdx.ne.jp,email_0000000000004233@dj.pdx.ne.jp,817000000849,817000000849,119,0,0,1043892,,37
,50,ip_33,iPhone OS,13,2021-05-01 17:43:39.236000,Blue Shop,consumer_6894,2021-05-01 17:43:51.995000,4274,email_0000000001547@softbank.ne.jp,email_0000000001547@softbank.ne.jp,818000002452,818000002452,51,0,0,1044833,Male,64
,51,ip_34,Android,9,2021-05-06 13:54:32.038000,Red Shop,consumer_852,2021-02-26 22:01:07.205000,1850,email_000000007602@icloud.com,email_000000007602@icloud.com,818200004963,818000004089,146,788,1400,9929825,Male,44
,52,ip_34,Android,9,2021-05-06 13:51:50.559000,Red Shop,consumer_852,2021-02-26 22:01:07.205000,1850,email_000000007602@icloud.com,email_000000007602@icloud.com,818200004963,818000004089,180,788,1400,9929825,Female,50
,53,ip_35,iPhone OS,13,2021-04-30 13:43:42.626000,Red Shop,consumer_5698,2021-04-30 13:43:56.075000,2500,email_00000003948@icloud.com,email_00000003948@icloud.com,818000002326,818000002326,111,0,0,1052879,Female,46
,54,ip_35,iPhone OS,13,2021-04-30 13:45:37.419000,Red Shop,consumer_5698,2021-04-30 13:43:56.075000,2500,email_00000003948@icloud.com,email_00000003948@icloud.com,818000002326,818000002326,77,0,0,1052879,Female,29
,55,ip_36,iPhone OS,12,2021-05-04 07:14:15.295000,Red Shop,consumer_4791,2021-05-04 07:14:40.216000,999,email_000005138@excite.co.jp,email_0000000001162@gmail.com,819700008258,819000005611,63,666,2360,1123903,,31
,56,ip_37,iPhone OS,13,2021-04-28 21:34:26.781000,Blue Shop,consumer_4444,2021-04-28 21:34:43.896000,3350,email_000000000002291@docomo.ne.jp,email_000000000002291@docomo.ne.jp,818000001791,818000001791,153,0,0,9699214,Male,25
,57,ip_38,iPhone OS,13,2021-04-28 19:30:46.050000,Blue Shop,consumer_4294,2021-04-28 19:29:05.222000,2000,email_00001946@icloud.com,email_00001946@icloud.com,818000003591,818000003591,156,0,0,9699223,,49
,58,ip_38,iPhone OS,13,2021-04-28 19:31:10.539000,Blue Shop,consumer_4294,2021-04-28 19:29:05.222000,2000,email_00001946@icloud.com,email_00001946@icloud.com,818000003591,818000003591,143,0,0,9699223,Female,53
,59,ip_38,iPhone OS,13,2021-04-28 19:28:57.853000,Blue Shop,consumer_4294,2021-04-28 19:29:05.222000,2000,email_00001946@icloud.com,email_00001946@icloud.com,818000003591,818000003591,124,0,0,9699223,Male,46
,60,ip_39,Windows NT,10,2021-04-28 16:10:03.876000,Blue Shop,consumer_3996,2021-04-28 16:10:18.321000,3530,email_000007650@gmail.com,email_000007650@gmail.com,819000006768,819000006768,121,0,0,5258236,Male,25
,61,ip_39,Windows NT,10,2021-04-28 16:10:36.652000,Blue Shop,consumer_3996,2021-04-28 16:10:18.321000,3530,email_000007650@gmail.com,email_000007650@gmail.com,819000006768,819000006768,85,0,0,5258236,Female,18
,62,ip_40,iPhone OS,13,2021-05-08 18:35:43.694000,Red Shop,consumer_2502,2021-05-07 15:01:20.691000,3500,email_000000004049@docomo.ne.jp,email_000000004049@docomo.ne.jp,818000000996,818000000996,198,0,0,5968133,,25
,63,ip_41,iPhone OS,13,2021-05-08 03:03:28.499000,Red Shop,consumer_2502,2021-05-07 15:01:20.691000,3500,email_000000004049@docomo.ne.jp,email_000000004049@docomo.ne.jp,818000000996,818000000996,155,0,0,5968133,Female,20
,64,ip_42,iPhone OS,13,2021-05-04 22:40:21.334000,Blue Shop,consumer_5218,2021-05-04 22:40:33.887000,3780,email_00000005750@yahoo.co.jp,email_00000005750@yahoo.co.jp,818000001119,818000001119,155,0,0,5598737,Male,48
,65,ip_43,iPhone OS,13,2021-04-30 00:48:40.072000,Red Shop,consumer_5529,2021-04-30 00:48:51.879000,9800,email_0000000000003587@gmail.com,email_0000000000003587@gmail.com,819000004991,819000004991,65,0,0,1071816,Male,53
,66,ip_44,iPhone OS,13,2021-05-07 15:01:09.959000,Red Shop,consumer_2502,2021-05-07 15:01:20.691000,8500,email_000000004049@docomo.ne.jp,email_000000004049@docomo.ne.jp,818000000996,818000000996,28,0,0,5968133,Male,57
,67,ip_45,iPhone OS,13,2021-05-08 02:54:35.232000,Red Shop,consumer_2502,2021-05-07 15:01:20.691000,3500,email_000000004049@docomo.ne.jp,email_000000004049@docomo.ne.jp,818000000996,818000000996,21,0,0,5968133,,22
,68,ip_45,iPhone OS,13,2021-05-08 02:53:47.319000,Red Shop,consumer_2502,2021-05-07 15:01:20.691000,3500,email_000000004049@docomo.ne.jp,email_000000004049@docomo.ne.jp,818000000996,818000000996,37,0,0,5968133,Male,48
,69,ip_46,iPhone OS,12,2021-04-29 20:31:45.888000,Blue Shop,consumer_5286,2021-04-29 20:32:24.624000,1100,email_000000006622@i.softbank.jp,email_000000006622@i.softbank.jp,812900000055,818000002518,21,0,0,5638938,Female,21
,70,ip_47,iPhone OS,13,2021-05-08 13:01:16.363000,Red Shop,consumer_5947,2021-05-05 13:27:30.538000,21750,email_000000000000004631@gmail.com,email_000000000000004631@gmail.com,819000005671,819000005671,133,0,0,4458126,,20
,71,ip_48,iPhone OS,13,2021-05-02 16:48:47.720000,Red Shop,consumer_7572,2020-11-13 15:18:41.492000,5000,email_005815@icloud.com,email_005815@icloud.com,819000005366,818000004464,139,181,800,5728398,Female,57
,72,ip_49,iPhone OS,13,2021-04-28 08:02:39.586000,Red Shop,consumer_3896,2021-04-28 08:02:54.732000,500,email_000000000730@gmail.com,email_000000000730@gmail.com,819000007262,819000007262,73,188,999,1073829,Female,33
,73,ip_50,iPhone OS,13,2021-05-03 21:22:40.255000,Blue Shop,consumer_4654,2021-05-03 21:22:50.917000,4210,email_0000000004644@ezweb.ne.jp,email_0000000004644@ezweb.ne.jp,819000007301,819000007301,194,0,0,1022819,Female,50
,74,ip_51,iPhone OS,13,2021-04-29 09:38:29.158000,Red Shop,consumer_2139,2021-04-23 13:14:49.149000,7200,email_000000000000113@au.com,email_000000000000113@au.com,818000003622,818000003622,8,38,300,9958509,Female,60
,75,ip_52,iPhone OS,13,2021-05-03 15:38:39.607000,Red Shop,consumer_4157,2021-05-03 12:12:32.004000,31350,email_000000008299@gmail.com,email_000000008299@gmail.com,818000003532,818000003532,72,0,0,7868105,Male,53
,76,ip_53,iPhone OS,12,2021-04-28 17:24:18.078000,Red Shop,consumer_478,2020-12-18 18:36:50.176000,8550,email_0000001654@ezweb.ne.jp,email_00000000598@gmail.com,817000000429,817000000429,192,0,0,5838943,Female,60
,77,ip_54,Mac OS X,10,2021-04-28 16:24:29.251000,Blue Shop,consumer_4005,2021-04-28 16:24:42.442000,6000,email_000000003020@docomo.ne.jp,email_000000003020@docomo.ne.jp,818000004378,818000004378,35,0,0,6238960,Female,18
,78,ip_54,iPhone OS,11,2021-04-27 14:35:08.498000,Blue Shop,consumer_3268,2021-04-27 14:35:18.899000,9388,email_0000000003867@gmail.com,email_0000000003867@gmail.com,818000001895,818000001895,28,0,0,5898113,Male,60
,79,ip_55,iPhone OS,13,2021-05-05 00:46:34.645000,Red Shop,consumer_5615,2021-05-05 00:46:42.586000,30000,email_00000008136@gmail.com,email_00000008136@gmail.com,817000000805,817000000805,133,0,0,4588095,Female,58
,80,ip_56,Android,10,2021-05-04 22:52:27.648000,Red Shop,consumer_3293,2021-05-02 15:02:04.449000,940,email_000000004064@au.com,email_000000004064@au.com,819000006648,819000006648,186,0,0,3326337,Male,57
,81,ip_56,Android,10,2021-05-04 22:48:03.553000,Red Shop,consumer_3293,2021-05-02 15:02:04.449000,700,email_000000004064@au.com,email_000000004064@au.com,819000006648,819000006648,85,0,0,3326337,,24
,82,ip_57,iPhone OS,13,2021-05-03 10:22:31.974000,Red Shop,consumer_282,2019-06-15 22:22:30.990000,720,email_000000003316@gmail.com,email_000000003316@gmail.com,819000005568,819000007080,119,654,1499,1013817,Female,64
,83,ip_58,iPhone OS,13,2021-05-03 15:30:05.519000,Red Shop,consumer_4258,2021-05-03 15:30:12.595000,200,email_0000000003137@icloud.com,email_0000000003137@icloud.com,818000003491,818000003491,104,0,0,2578934,,62
,84,ip_59,iPhone OS,13,2021-04-30 21:07:44.451000,Red Shop,consumer_7482,2020-09-26 00:36:16.589000,8265,email_00000004412@ezweb.ne.jp,email_00000004412@ezweb.ne.jp,818000003086,818000003086,43,300,2180,8369087,Female,37
,85,ip_60,Android,9,2021-05-04 10:21:13.970000,Red Shop,consumer_4933,2021-05-04 10:21:38.858000,2900,email_00000000000000000002226@gmail.com,email_00000000000000000002226@gmail.com,817000000927,817000000927,146,0,0,5848904,,24
,86,ip_61,Android,9,2021-05-04 15:22:01.722000,Red Shop,consumer_4933,2021-05-04 10:21:38.858000,4500,email_00000000000000000002226@gmail.com,email_00000000000000000002226@gmail.com,817000000927,817000000927,90,0,0,5848904,Male,42
,87,ip_62,Android,10,2021-05-04 15:34:01.319000,Red Shop,consumer_265,2019-05-20 23:35:14.683000,388,email_007095@gmail.com,email_00001238@ezweb.ne.jp,818000003885,818000003885,20,405,850,4648144,Female,47
,88,ip_63,iPhone OS,13,2021-05-07 17:32:34.761000,Red Shop,consumer_1999,2021-04-22 19:42:55.876000,540,email_00000003429@icloud.com,email_00000003429@icloud.com,817000000766,817000000766,16,16,1000,5938893,Female,19
,89,ip_64,iPhone OS,13,2021-05-04 19:15:50.273000,Red Shop,consumer_4258,2021-05-03 15:30:12.595000,3999,email_0000000003137@icloud.com,email_0000000003137@icloud.com,818000003491,818000003491,184,0,0,2578934,Male,42
,90,ip_65,Android,9,2021-05-02 12:57:00.078000,Red Shop,consumer_7567,2020-11-16 12:25:00.363000,25000,email_00000000007081@au.com,email_00000000007081@au.com,817000000367,817000000367,181,168,1500,4788116,,68
,91,ip_66,iPhone OS,13,2021-05-05 18:48:32.932000,Red Shop,consumer_803,2021-02-18 00:57:41.319000,16500,email_00002193@ezweb.ne.jp,email_00002193@ezweb.ne.jp,818000004189,818000004189,16,718,5000,5048964,Male,18
,92,ip_67,Android,9,2021-05-05 10:12:26.816000,Red Shop,consumer_4032,2021-04-28 12:30:33.106000,850,email_000000000005501@gmail.com,email_000000000005501@gmail.com,818000003677,818000003677,54,159,540,9676195,,27
,93,ip_68,iPhone OS,13,2021-05-02 18:42:51.657000,Red Shop,consumer_7137,2021-05-02 00:22:43.627000,35000,email_000000003501@icloud.com,email_000000003501@icloud.com,819000007650,819000007650,187,500,33300,5688125,Male,38
,94,ip_69,iPhone OS,13,2021-05-01 15:08:09.721000,Red Shop,consumer_6741,2021-05-01 15:08:19.392000,18000,email_0000000508@ezweb.ne.jp,email_0000000508@ezweb.ne.jp,819000007863,819000007863,14,596,21000,1243439,Male,17
,95,ip_70,iPhone OS,13,2021-05-03 23:48:31.655000,Blue Shop,consumer_4396,2021-05-03 23:48:45.692000,19700,email_00000000007007@ezweb.ne.jp,email_00000000007007@ezweb.ne.jp,819000005301,819000005301,11,0,0,7138104,,39
,96,ip_71,iPhone OS,13,2021-05-02 16:25:06.185000,Red Shop,consumer_7342,2020-07-19 10:58:37.021000,30400,email_000000000003021@ezweb.ne.jp,email_000000000003021@ezweb.ne.jp,818000002307,818000002307,8,322,7100,8268110,Male,18
,97,ip_72,iPhone OS,13,2021-05-01 19:13:12.572000,Blue Shop,consumer_7039,2021-05-01 19:13:22.834000,2350,email_00000382@gmail.com,email_00000382@gmail.com,818000003363,818000003363,184,0,0,1179830,Female,56
,98,ip_73,iPhone OS,13,2021-05-01 19:45:04.061000,Red Shop,consumer_7342,2020-07-19 10:58:37.021000,29925,email_000000000003021@ezweb.ne.jp,email_000000000003021@ezweb.ne.jp,818000002307,818000002307,190,321,7100,8268110,Male,31
,99,ip_74,iPhone OS,13,2021-05-05 13:40:48.835000,Red Shop,consumer_5958,2021-05-05 13:40:57.059000,5780,email_00001307@gmail.com,email_0000000001700@gmail.com,818000003409,818000003409,192,414,800,3778096,Female,69
,100,ip_75,iPhone OS,13,2021-04-29 23:07:07.303000,Blue Shop,consumer_5415,2021-04-29 23:07:15.344000,15700,email_00000000000000343@ezweb.ne.jp,email_00000000000000343@ezweb.ne.jp,818000001796,818000001796,63,0,0,1000889,Female,20
,101,ip_76,iPhone OS,13,2021-04-30 21:38:23.607000,Blue Shop,consumer_6245,2021-04-30 21:38:32.793000,18700,email_00000000000000000000007882@ezweb.ne.jp,email_00000000000000000000007882@ezweb.ne.jp,819000005562,819000005562,157,0,0,5708146,Female,22
,102,ip_77,iPhone OS,13,2021-05-03 21:54:32.158000,Red Shop,consumer_282,2019-06-15 22:22:30.990000,888,email_000000003316@gmail.com,email_000000003316@gmail.com,819000005568,819000007080,80,654,1499,1013817,,48
,103,ip_78,iPhone OS,13,2021-05-04 08:12:56.116000,Red Shop,consumer_282,2019-06-15 22:22:30.990000,830,email_000000003316@gmail.com,email_000000003316@gmail.com,819000005568,819000007080,4,655,1499,1013817,Female,27
,104,ip_79,iPhone OS,13,2021-05-04 23:22:36.825000,Red Shop,consumer_5227,2021-05-04 22:44:26.574000,12980,email_00000003030@yahoo.co.jp,email_00000003029@au.com,817000000561,817000000561,172,387,10999,9928116,Male,60
,105,ip_79,iPhone OS,13,2021-05-04 23:21:12.080000,Red Shop,consumer_5227,2021-05-04 22:44:26.574000,12980,email_00000003030@yahoo.co.jp,email_00000003029@au.com,817000000561,817000000561,189,387,10999,9928116,Male,31
,106,ip_80,iPhone OS,13,2021-05-01 14:40:09.682000,Red Shop,consumer_6601,2021-05-01 12:52:35.756000,6980,email_000001381@icloud.com,email_000001381@icloud.com,818000004700,818000004700,120,0,0,8258956,,36
,107,ip_81,iPhone OS,13,2021-04-27 12:28:18.120000,Red Shop,consumer_3149,2021-04-27 12:29:53.730000,1649,email_00000000000004753@ezweb.ne.jp,email_00000000000004753@ezweb.ne.jp,818000001764,818000001764,31,2165,5000,1213877,,61
,108,ip_82,iPhone OS,13,2021-05-05 17:45:23.458000,Red Shop,consumer_6195,2021-05-05 17:45:43.317000,1750,email_00000007814@ezweb.ne.jp,email_00000007814@ezweb.ne.jp,818000003695,818000003695,122,439,960,1133809,Female,62
,109,ip_83,iPhone OS,13,2021-05-07 20:13:49.023000,Blue Shop,consumer_2645,2021-05-07 20:11:24.597000,23800,email_00000000000002983@gmail.com,email_00000000000002983@gmail.com,818000001596,818000001596,45,0,0,7918136,Male,58
,110,ip_83,iPhone OS,13,2021-05-07 20:11:15.008000,Blue Shop,consumer_2645,2021-05-07 20:11:24.597000,23800,email_00000000000002983@gmail.com,email_00000000000002983@gmail.com,818000001596,818000001596,81,0,0,7918136,Male,19
,111,ip_84,iPhone OS,13,2021-04-29 15:58:52.122000,Red Shop,consumer_7342,2020-07-19 10:58:37.021000,29925,email_000000000003021@ezweb.ne.jp,email_000000000003021@ezweb.ne.jp,818000002307,818000002307,161,319,7100,8268110,Male,26
,112,ip_85,iPhone OS,13,2021-04-28 15:36:20.016000,Red Shop,consumer_4145,2021-04-28 15:36:28.727000,95000,email_000000000000000006401@ezweb.ne.jp,email_000000000000000006401@ezweb.ne.jp,818000004881,818000004881,128,0,0,5148105,Male,64
,113,ip_85,iPhone OS,13,2021-04-29 00:10:46.056000,Red Shop,consumer_4145,2021-04-28 15:36:28.727000,95000,email_000000000000000006401@ezweb.ne.jp,email_000000000000000006401@ezweb.ne.jp,818000004881,818000004881,89,0,0,5148105,Male,58
,114,ip_86,iPhone OS,13,2021-05-01 12:52:26.019000,Red Shop,consumer_6601,2021-05-01 12:52:35.756000,6980,email_000001381@icloud.com,email_000001381@icloud.com,818000004700,818000004700,140,0,0,8258956,Female,56
